,Nombre de la colonia,Municipios en los que se encuentra,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de agua entubada en el mbito de la vivienda,Viviendas particulares habitadas que disponen de letrina (pozo u hoyo)
101,SAN BERNARDO,Zapopan,0.72,0,0,0
102,LOMAS DE TABACHINES,Zapopan,1.10,44,2,8
103,EMILIANO ZAPATA,Zapopan,1.09,21,2,2
104,LOMAS DEL VERGEL,Zapopan,1.12,22,0,0
105,REAL SAN BERNARDO,Zapopan,0.54,0,0,0
106,LA MARTINICA,Zapopan,1.03,12,2,1
107,JARDINES DEL VERGEL,Zapopan,0.97,25,13,7
108,SAN WENCESLAO,Zapopan,0.60,0,0,0
109,JARDINES UNIVERSIDAD,Zapopan,0.59,3,0,0
110,LOMA REAL,Zapopan,0.60,1,0,0
111,HORIZONTES DE TLAQUEPAQUE,San Pedro Tlaquepaque,1.35,6,0,0
112,LA PATRIA UNIVERSIDAD,Zapopan,0.62,0,0,0
113,BALCONES DE LA CANTERA,Zapopan,1.10,26,5,1
114,ALAMEDAS DE TESISTAN,Zapopan,0.92,0,0,0
115,LOMAS DEL VALLE,Zapopan,0.57,1,0,0
116,JARDINES DE LOS BELENES,Zapopan,0.96,17,3,2
117,CANTEROS,Zapopan,1.07,2,0,0
118,LA EXPERIENCIA,Zapopan,0.85,2,1,1
119,MOLINO DEL SALVADOR,Zapopan,ND2020,ND2020,ND2020,ND2020
120,LOMAS ALTAS,Zapopan,0.60,9,0,0
121,HACIENDA DE LAS LOMAS,Zapopan,0.60,0,0,0
122,VIGUSA,Zapopan,0.85,0,0,0
123,JARDINES DE LA PATRIA,Zapopan,0.65,1,0,0
124,JUAN MANUEL VALLARTA,Zapopan,0.58,0,0,0
125,LOS PINOS,Zapopan,0.47,3,0,0
126,MEXICO,Zapopan,0.57,0,0,0
127,VILLAS DE SAN JAVIER,Zapopan,0.61,0,0,0
128,TATEPOSCO,Tonal,1.18,10,8,2
129,LOS PUESTOS,Tonal,1.12,14,4,1
130,BOSQUE ESCONDIDO,Zapopan,0.90,0,0,0
131,VICTOR HUGO,Zapopan,0.98,13,3,0
132,HOGARES DEL BATAN,Zapopan,0.86,6,1,0
133,LA LOMA,Zapopan,0.81,2,1,0
134,LOMAS DEL BATAN,Zapopan,0.88,6,1,0
135,EL BATAN,Zapopan,0.86,10,0,0
136,VILLAS ALCALDE,Zapopan,0.73,0,0,0
137,RITZ AUTOCINEMA,Zapopan,0.76,1,1,1
138,LA PALMITA,Zapopan,0.88,6,0,0
139,JARDINES VALLARTA,Zapopan,0.59,2,1,1
140,27 DE SEPTIEMBRE,Zapopan,0.95,2,1,0
141,PEDRO MORENO,Zapopan,0.95,3,0,0
142,COLINAS DE TABACHINES,Zapopan,1.00,9,1,0
143,JARDINES DE LA ESPERANZA,Zapopan,0.89,2,1,0
144,JARDINES DE TABACHINES,Zapopan,0.76,0,0,0
145,TABACHINES,Zapopan,0.72,23,9,7
146,VILLAS SAN IGNACIO,Zapopan,1.00,1,0,0
147,LA HUERTA,Zapopan,0.63,1,0,0
148,SANTA PAULA,Zapopan,0.94,3,3,0
149,VENUSTIANO CARRANZA,Zapopan,0.83,4,1,0
150,SANTA MARIA DEL PUEBLITO,Zapopan,0.98,7,0,0
151,LOMAS DE ATEMAJAC,Zapopan,0.61,9,0,0
152,CAMICHINES VALLARTA,Zapopan,0.55,1,0,0
153,EUCALIPTO VALLARTA,Zapopan,0.56,2,0,0
154,COLINAS DE ATEMAJAC,Zapopan,0.70,7,0,0
155,REAL VALLARTA,Zapopan,0.59,4,0,0
156,VALLARTA LA PATRIA,Zapopan,0.57,2,0,0
157,PRADOS VALLARTA,Zapopan,0.53,6,0,0
158,PRADOS GUADALUPE,Zapopan,0.58,1,0,0
159,ZOQUIPAN,Zapopan,0.77,3,0,0
160,CAMINO REAL,Zapopan,0.54,3,1,1
161,JARDINES SEATTLE,Zapopan,0.61,0,0,0
162,JARDINES DE LA SEATTLE,Zapopan,0.75,2,0,0
163,JARDINES DEL SAUZ,Guadalajara,0.71,2,0,0
164,LAS FLORES,Zapopan,0.60,0,0,0
165,JARDINES SEATTLE,Zapopan,0.78,0,0,0
166,SEATTLE,Zapopan,0.74,1,0,0
167,DON BOSCO VALLARTA,Zapopan,0.67,0,0,0
168,EL CAPULLO,Zapopan,0.62,4,2,2
169,VILLA GUERRERO,Guadalajara,0.97,17,1,1
170,TEPEYAC,Zapopan,0.79,5,3,1
171,LOS MAESTROS,Zapopan,0.71,3,1,0
172,LA AURORA,Zapopan,0.77,1,0,0
173,DEL SUR,Guadalajara,0.85,8,1,0
174,EL PARAISO,Zapopan,0.92,0,0,0
175,CONSTITUYENTES,Zapopan,0.85,4,0,0
176,GUSA,Zapopan,0.80,0,1,0
177,CONSTITUCION,Zapopan,0.87,36,8,3
178,VILLAS BELENES,Zapopan,0.67,0,0,0
179,INDUSTRIAL LOS BELENES,Zapopan,ND2020,ND2020,ND2020,ND2020
180,CERRO DEL CUATRO,San Pedro Tlaquepaque,1.16,34,3,1
181,COLINA DE LOS BELENES,Zapopan,0.97,4,1,1
182,SAN JOSE DEL BAJIO,Zapopan,0.67,1,1,3
183,GUADALUPE EJIDAL,San Pedro Tlaquepaque,0.91,9,0,1
184,TEPEYAC,San Pedro Tlaquepaque,1.16,2,0,0
185,LAURELES,Zapopan,0.74,4,0,0
186,ZAPOPAN CENTRO,Zapopan,0.80,2,1,1
187,BELENES NORTE,Zapopan,0.83,2,0,0
188,CORDILLERAS,Zapopan,0.69,1,0,0
189,ARCOS DE ZAPOPAN,Zapopan,0.88,8,2,2
190,LOMAS DE ZAPOPAN,Zapopan,0.78,4,0,0
191,COLINAS DEL REY,Zapopan,0.78,0,0,0
192,LAS PALMAS,Zapopan,1.03,3,0,0
193,LOMAS DE GUADALUPE,Zapopan,0.62,2,0,0
194,LOMAS DEL SEMINARIO,Zapopan,0.50,0,0,0
195,LA ESTANCIA,Zapopan,0.56,9,0,0
196,ALTAGRACIA,Zapopan,0.98,6,1,1
197,INDUSTRIAL ZAPOPAN NORTE,Zapopan,0.70,0,0,0
198,SAN FRANCISCO,Zapopan,0.66,0,0,0
199,LOMAS DEL COLLI,Zapopan,0.89,2,1,1
200,VOLCAN DEL COLLI,Zapopan,0.99,9,2,1
201,VALLE DE SAN ISIDRO,Zapopan,0.80,10,0,0
202,COLINAS EL CENTINELA,Zapopan,1.10,0,0,0
203,LOMA LINDA,Guadalajara,1.08,17,1,0
204,LA GLORIA DEL COLLI,Zapopan,0.98,18,5,5
205,BUENOS AIRES,San Pedro Tlaquepaque,1.10,66,14,4
206,ARCOS DE GUADALUPE,Zapopan,0.57,5,1,1
207,LA MEZQUITERA,San Pedro Tlaquepaque,1.10,5,0,0
208,JARDINES DE GUADALUPE,Zapopan,0.53,4,0,0
209,TEPEYAC,San Pedro Tlaquepaque,1.08,3,0,0
210,CHAPALITA ORIENTE,Zapopan,0.50,2,2,2
211,FRANCISCO I MADERO,San Pedro Tlaquepaque,1.28,72,38,5
212,HACIENDA DEL VALLE,Zapopan,0.90,3,0,0
213,MAGISTERIAL VALLE DE SAN ISIDRO,Zapopan,0.88,0,0,0
214,FRANCISCO I MADERO 2a SECCION,San Pedro Tlaquepaque,1.32,87,7,7
215,VILLAS MIRADOR,Zapopan,1.07,0,0,0
216,MIRADOR SAN ISIDRO,Zapopan,0.77,2,0,0
217,BOSQUES DEL CENTINELA,Zapopan,1.00,11,1,1
218,NUEVA SANTA MARIA,San Pedro Tlaquepaque,1.12,94,7,9
219,CIUDAD DE LOS NIOS,Zapopan,0.52,1,0,0
220,GUADALUPE,Zapopan,0.50,0,0,0
221,CIUDAD DE LOS NIOS,Zapopan,0.67,0,0,0
222,TEPEYAC CASINO,Zapopan,0.58,0,0,0
223,VILLAS TORREMOLINOS,Zapopan,0.84,1,0,0
224,DEL VALLE,Zapopan,0.50,0,0,0
225,EL CENTINELA,Zapopan,0.73,5,5,3
226,CHAPALITA DE OCCIDENTE,Zapopan,0.57,0,0,0
227,GUADALUPE JARDIN,Zapopan,0.52,2,0,0
228,CHAPALITA LAS FUENTES,Zapopan,0.64,0,0,0
229,ATLAS CHAPALITA,Zapopan,0.60,0,0,0
230,HUENTITAN EL BAJO,Guadalajara,0.92,45,7,4
231,PLAZA GUADALUPE,Zapopan,0.56,8,2,3
232,GUAYABITOS,San Pedro Tlaquepaque,1.26,74,10,9
233,JARDINES DE CHAPALITA,Zapopan,0.64,1,0,0
234,LOMAS DEL PARAISO III,Guadalajara,1.06,48,6,6
235,CHAPALITA INN,Zapopan,0.57,2,0,1
236,JARDINES DE SANTA MARIA,San Pedro Tlaquepaque,1.05,46,6,5
237,PARQUE GUADALUPE,Zapopan,0.63,2,0,0
238,LOS ROBLES,Zapopan,0.68,12,1,1
239,LAS CUMBRES,Zapopan,0.56,0,0,0
240,PLACITA DEL SOL,Zapopan,0.70,0,0,0
241,COLINAS DE LOS ROBLES,Zapopan,0.95,5,0,0
242,EL TIGRE,Zapopan,1.00,7,3,3
243,LA CASTILLA,Zapopan,0.67,1,0,0
244,LA FLORIDA,Zapopan,0.73,0,0,0
245,HOGARES DE NUEVO MEXICO,Zapopan,1.04,14,6,4
246,NUEVA GALICIA,Zapopan,0.70,1,0,0
247,HACIENDAS DE SAN JOSE,San Pedro Tlaquepaque,0.91,4,0,0
248,ALAMITOS,Zapopan,1.10,0,0,0
249,NUEVA GALICIA 2,Zapopan,0.65,0,0,0
250,BELLAVISTA,Zapopan,0.46,0,0,0
251,VISTA DEL PINAR,Zapopan,0.74,3,0,0
252,MARCELINO GARCIA BARRAGAN,Zapopan,1.28,14,5,3
253,LA PERIQUERA,Zapopan,1.07,11,3,4
254,COLLI SITIO,Zapopan,0.92,1,0,0
255,GUADALUPE SUR,Zapopan,0.60,0,0,0
256,LOMAS DEL PARAISO I,Guadalajara,1.03,21,2,1
257,LA CARIDAD,San Pedro Tlaquepaque,0.88,1,1,1
258,EL MIRADOR,San Pedro Tlaquepaque,1.02,5,0,0
259,EL JAGUEY,Guadalajara,1.06,23,2,1
260,ESPAA,San Pedro Tlaquepaque,0.99,3,0,0
261,HACIENDA DEL TEPEYAC,Zapopan,0.72,3,0,0
262,PARQUES TEPEYAC,Zapopan,0.72,2,0,0
263,DIVISION DEL NORTE,Guadalajara,0.95,15,1,1
264,MOCTEZUMA PTE,Zapopan,0.70,6,0,0
265,RICARDO FLORES MAGON,Guadalajara,0.80,1,0,0
266,MOCTEZUMA,Zapopan,0.91,3,0,0
267,PRIMAVERA NORTE,Zapopan,0.80,0,0,0
268,NUEVA PRIMAVERA,Zapopan,0.79,1,0,0
269,VILLAS DEL TEPEYAC,Zapopan,0.62,6,1,1
270,RANCHO NUEVO,Guadalajara,0.98,47,8,6
271,VILLA PUERTA DEL SOL,Zapopan,0.66,4,1,1
272,SANTA CATALINA,Zapopan,0.56,2,0,0
273,AUTOCINEMA,Guadalajara,0.65,5,1,1
274,EL ZAPOTE,Zapopan,0.93,2,0,0
275,PRADOS TEPEYAC,Zapopan,0.57,4,1,1
276,SANTA ELENA DE LA CRUZ,Guadalajara,0.93,14,2,4
277,CIUDAD DEL SOL,Zapopan,0.51,5,1,1
278,DEL SOL,Zapopan,0.50,0,0,0
279,COLON,Guadalajara,0.73,7,1,0
280,LOMAS DE INDEPENDENCIA,Guadalajara,0.68,17,0,0
281,JARDINES DEL SOL,Zapopan,0.54,5,0,0
282,LAS TORRES,Guadalajara,0.74,0,0,1
283,FOVISSSTE ESTADIO,Guadalajara,0.76,4,2,2
284,COMERCIAL ABASTOS,Guadalajara,0.90,2,2,2
285,DEL BOSQUE,Guadalajara,0.60,3,3,3
286,VERDE VALLE,Guadalajara,0.70,1,0,0
287,VICTORIA,Guadalajara,0.48,2,0,0
288,COLLI CTM,Zapopan,0.83,4,0,0
289,BOSQUES DE LA VICTORIA,Guadalajara,0.49,5,1,1
290,SANTA EDUWIGES,Guadalajara,0.78,2,1,1
291,INFONAVIT INDEPENDENCIA,Guadalajara,0.68,1,1,1
292,LA CRUZ,Guadalajara,0.69,0,0,0
293,JARDINES DEL SUR,Guadalajara,0.73,5,0,0
294,SAN ELIAS,Guadalajara,0.64,2,0,0
295,JARDINES DE SAN JOSE,Guadalajara,0.80,5,1,1
296,LOPEZ DE LEGASPI,Guadalajara,0.60,0,0,0
297,SANTA ELENA ESTADIO,Guadalajara,0.70,2,0,0
298,JARDINES DE LA CRUZ,Guadalajara,0.66,13,3,3
299,COLLI PRIMAVERA,Zapopan,0.73,4,1,1
300,SANTA ELENA ALCALDE,Guadalajara,0.69,10,1,0
301,JARDINES PLAZA DEL SOL,Guadalajara,0.59,0,0,0
332,SANTA MONICA,Guadalajara,0.68,0,0,0
333,FABRICA DE ATEMAJAC,Guadalajara,0.71,1,2,1
334,JARDINES DE LOS ARCOS,Guadalajara,0.51,1,1,1
335,VALLARTA PONIENTE,Guadalajara,0.52,0,0,0
336,VALLARTA SAN JORGE,Guadalajara,0.56,3,0,0
337,VALLARTA NORTE,Guadalajara,0.54,4,4,4
338,SANTA RITA,Guadalajara,0.51,0,0,0
339,JUAN MANUEL,Guadalajara,0.58,2,0,0
340,TERRANOVA,Guadalajara,0.43,0,0,0
341,CIRCUNVALACION VALLARTA,Guadalajara,0.53,1,1,1
342,JARDINES DEL COUNTRY,Guadalajara,0.60,39,2,2
343,EL COLLI URBANO,Zapopan,0.73,25,5,5
344,LADRON DE GUEVARA,Guadalajara,0.61,25,9,9
345,FIDEL VELAZQUEZ,Guadalajara,0.86,1,0,0
346,ARCOS VALLARTA,Guadalajara,0.53,9,6,6
347,ARCOS,Guadalajara,0.49,2,2,2
348,OBRERA,Guadalajara,0.53,4,4,4
349,PASEOS DEL SOL,Zapopan,0.61,13,0,0
350,LAS ALAMEDAS,Zapopan,0.65,1,0,0
351,LA GUADALUPANA,Guadalajara,0.77,13,5,2
352,UNIDAD CADETE FCO MARQUEZ,Zapopan,0.50,1,0,0
353,JARDINES DEL BOSQUE,Guadalajara,0.57,25,15,6
354,DEL FRESNO,Guadalajara,0.81,27,18,7
355,CHAPALITA SUR,Zapopan,0.54,4,0,0
356,MORELOS,Guadalajara,0.75,13,6,5
357,8 DE JULIO,Guadalajara,0.72,9,2,2
358,MODERNA,Guadalajara,0.63,32,14,14
359,LA CALMA,Zapopan,0.56,13,3,4
360,MEXICALTZINGO,Guadalajara,0.68,5,4,3
361,AMERICANA,Guadalajara,0.53,22,19,19
362,VILLASEOR (SANTA TERESITA),Guadalajara,0.72,27,3,3
363,LOMA BONITA,Zapopan,0.64,2,0,0
364,ARTESANOS (SAGRADA FAMILIA Y/O JESUS),Guadalajara,0.68,19,3,3
365,CENTRO BARRANQUITAS,Guadalajara,0.65,5,0,0
366,ZONA CENTRO,Guadalajara,0.60,61,44,42
367,JARDINES ALCALDE,Guadalajara,0.61,6,0,0
368,LA GIRALDA,Zapopan,0.53,4,1,1
369,VILLAS DE SAN JUAN,Guadalajara,0.80,1,1,1
370,LOMA BONITA,Zapopan,0.60,4,0,0
374,CHAPALITA,Guadalajara,0.51,2,2,2
375,LAGOS DEL COUNTRY,Guadalajara,0.56,1,0,0
423,INDEPENDENCIA,Guadalajara,0.68,19,2,2
424,LOMA BONITA SUR,Zapopan,0.61,3,0,0
425,LOMAS DE LA VICTORIA,San Pedro Tlaquepaque,0.68,0,0,0
426,LOMAS DE LA VICTORIA,Zapopan,0.70,0,0,0
427,SAN MIGUEL DE MEZQUITAN,Guadalajara,0.77,16,2,1
428,LA JOYA,Zapopan,0.57,3,0,0
429,NIOS HEROES,Guadalajara,0.70,3,1,1
430,LA CALMA,Zapopan,0.60,3,0,0
431,LAS AGUILAS,Zapopan,0.61,4,0,0
432,OBSERVATORIO,Guadalajara,0.75,1,0,0
434,MEZQUITAN,Guadalajara,0.77,15,2,2
435,LAS ARBOLEDAS,Zapopan,0.56,6,0,0
436,LAS FUENTES,Zapopan,0.61,10,0,0
437,CENTRO,Guadalajara,0.67,2,0,0
438,PIRAMIDES,Zapopan,0.82,3,0,0
439,MIRAFLORES,Guadalajara,0.72,0,0,0
440,COLINAS DE LA NORMAL,Guadalajara,0.62,2,0,0
441,GUSTAVO DIAZ ORDAZ,Zapopan,0.71,3,1,1
442,PINAR DE LA CALMA,Zapopan,0.65,5,0,0
443,ALCALDE BARRANQUITAS,Guadalajara,0.69,14,1,0
444,EL RETIRO,Guadalajara,0.81,17,6,4
445,COUNTRY CLUB,Guadalajara,0.52,4,3,3
446,LOMAS DEL COUNTRY,Guadalajara,0.61,9,0,0
447,PARQUES COLON,San Pedro Tlaquepaque,0.82,1,0,0
448,MEZQUITAN COUNTRY,Guadalajara,0.78,12,1,1
449,SAN BERNARDO,Guadalajara,0.67,2,0,0
450,BARRAGAN HERNANDEZ,Guadalajara,0.83,1,1,0
451,LAS CONCHAS,Guadalajara,0.87,6,3,3
452,SAN CARLOS,Guadalajara,0.74,3,2,1
453,LOS PERIODISTAS,Zapopan,0.90,0,0,0
454,JARDINES DE SAN IGNACIO,Zapopan,0.52,5,4,3
520,EL SAUZ,Guadalajara,0.88,3,1,1
590,MISION DE LA CANTERA,Tonal,1.10,11,0,0
597,CHAPULTEPEC COUNTRY,Guadalajara,0.59,6,0,0
598,AYUNTAMIENTO,Guadalajara,0.63,0,0,0
599,CIRCUNVALACION AMERICAS,Guadalajara,0.50,0,0,0
600,ITALIA PROVIDENCIA,Guadalajara,0.56,1,0,0
601,LOMAS DE GUEVARA,Guadalajara,0.53,5,4,4
602,PROVIDENCIA 2a SECCION,Guadalajara,0.46,2,0,0
603,COLOMOS PROVIDENCIA,Guadalajara,0.58,6,2,2
604,PROVIDENCIA 3a SECCION,Guadalajara,0.46,0,0,0
605,PROVIDENCIA,Guadalajara,0.47,0,0,0
606,COLINAS DE SAN JAVIER,Guadalajara,0.57,5,4,4
607,COLOMOS,Guadalajara,0.49,1,0,0
608,PROVIDENCIA 4a SECCION,Guadalajara,0.53,4,2,2
609,LOMAS DE PROVIDENCIA,Guadalajara,0.51,0,0,0
610,MIRADOR DEL TESORO,San Pedro Tlaquepaque,0.77,4,0,0
611,COLINAS DE LAS AGUILAS,Zapopan,0.59,12,0,0
612,LOMA BONITA EJIDAL,Zapopan,0.83,20,5,4
613,PRADOS PROVIDENCIA,Guadalajara,0.52,1,1,1
614,MONRAZ,Guadalajara,0.49,3,2,2
615,QUINTA VELARDE,Guadalajara,0.73,5,2,2
616,LA AURORA,Guadalajara,0.52,2,2,2
617,ATLAS,Guadalajara,0.75,20,4,1
618,BOSQUES DEL BOULEVARD,Guadalajara,0.73,1,0,1
619,JARDINES DEL ROSARIO,Guadalajara,0.75,4,1,1
629,EL ROSARIO,Guadalajara,0.72,3,2,2
630,FERROCARRIL,Guadalajara,0.97,52,6,24
631,SEVILLA,Zapopan,0.70,0,0,0
632,SIN NOMBRE,Zapopan,ND2020,ND2020,ND2020,ND2020
633,SIN NOMBRE,Zapopan,ND2020,1,1,1
634,RINCON DE LA AGUA AZUL,Guadalajara,1.00,1,1,1
635,VILLA UNIVERSITARIA,Zapopan,0.49,8,6,6
636,SIN NOMBRE,Zapopan,ND2020,ND2020,ND2020,ND2020
637,LOMAS DE SAN PEDRO,Guadalajara,0.82,0,2,0
638,VALLE DEL ALAMO,Guadalajara,0.61,0,0,0
639,COLORADO,Zapopan,1.33,21,8,5
640,EL DEAN,Guadalajara,0.82,1,3,1
641,HIGUERILLAS,Guadalajara,0.70,1,0,0
642,LA NOGALERA,Guadalajara,0.92,12,3,4
643,ATEMAJAC DEL VALLE,Zapopan,0.90,40,3,1
644,EL MANANTIAL,Guadalajara,0.69,3,2,2
645,JOSE CLEMENTE OROZCO,Guadalajara,0.76,0,0,0
646,COLON INDUSTRIAL,Guadalajara,0.68,5,1,2
647,18 DE MARZO,Guadalajara,0.78,10,2,2
648,ANEXO 18 DE MARZO,Guadalajara,0.90,2,0,0
649,VICTORIA,Zapopan,0.55,7,2,2
650,LOMAS DE POLANCO,Guadalajara,0.91,35,8,2
651,EL SAUZ,San Pedro Tlaquepaque,0.90,8,4,3
652,MIRAVALLE,Guadalajara,0.90,19,4,4
653,EL RASTRO,Guadalajara,0.80,1,0,0
654,CORRECCIONAL,Guadalajara,0.81,2,2,2
655,EL MANTE,San Pedro Tlaquepaque,1.10,0,0,0
656,VILLA HERMOSA,Guadalajara,0.88,3,1,0
657,COLINAS DE SAN JAVIER,Zapopan,0.57,3,0,0
658,ECHEVERRIA,Guadalajara,0.99,38,7,6
659,5 DE MAYO,Guadalajara,0.96,21,5,5
660,SANTA RITA,Zapopan,0.52,1,0,0
661,1 DE MAYO,Guadalajara,0.99,8,0,0
662,DR VALENTIN GOMEZ FARIAS,Guadalajara,1.08,10,1,1
663,FRANCISCO VILLA,Guadalajara,1.00,7,1,0
664,LOPEZ PORTILLO,Guadalajara,0.97,11,3,0
665,POLANCO,Guadalajara,0.98,11,1,2
666,POLANQUITO PONIENTE,Guadalajara,1.10,13,1,2
667,LOPEZ PORTILLO,Guadalajara,0.92,11,3,1
